,period,minute,location,under_pressure,player_name,pattern_of_play,team,player_position,statsbomb_xg,technique,body_part,tipe,first_time,goal,location_x,location_y,distance,angle
4614,2,76,"[112.9, 42.6]",1.0,Courtney Sweetman-Kirk,Regular Play,Liverpool WFC,Center Forward,0.11203159,Overhead Kick,Right Foot,Open Play,0,0,112.9,42.6,7.5610845782863665,0.9436035436584489
4615,2,81,"[118.0, 31.1]",0.0,Leah Galton,Regular Play,Manchester United,Left Midfield,0.05824401,Normal,Head,Open Play,0,0,118.0,31.1,9.121951545584968,0.23370965554723885
4616,2,81,"[117.7, 39.9]",0.0,Ella Toone,Regular Play,Manchester United,Left Center Midfield,0.67448163,Volley,Right Foot,Open Play,1,0,117.7,39.9,2.302172886644265,2.0975180536926157
4617,2,81,"[116.5, 44.7]",0.0,Kirsty Hanson,Regular Play,Manchester United,Right Center Forward,0.34523445,Volley,Right Foot,Open Play,1,0,116.5,44.7,5.860034129593448,0.9909141944010825
4618,2,82,"[104.3, 50.4]",0.0,Ella Toone,Regular Play,Manchester United,Left Center Midfield,0.042633887,Normal,Right Foot,Open Play,0,0,104.3,50.4,18.832153355365396,0.35515759461230345
4619,2,89,"[116.5, 30.7]",0.0,Leah Galton,From Free Kick,Manchester United,Left Midfield,0.14416276,Normal,Left Foot,Open Play,0,0,116.5,30.7,9.936800289831734,0.32631210410607225
4620,2,90,"[95.0, 40.9]",0.0,Katie Zelem,Regular Play,Manchester United,Right Center Midfield,0.052073542,Normal,Right Foot,Open Play,0,0,95.0,40.9,25.01619475459847,0.3169167224372818
4621,2,90,"[100.3, 42.0]",0.0,Ella Toone,Regular Play,Manchester United,Left Center Midfield,0.083563134,Normal,Right Foot,Open Play,1,0,100.3,42.0,19.801262586006988,0.3968190055766354
4622,2,91,"[95.8, 39.0]",0.0,Kirsty Hanson,Regular Play,Manchester United,Right Center Forward,0.050647028,Normal,Left Foot,Open Play,0,0,95.8,39.0,24.220652344641753,0.32708238178358046
4623,2,94,"[108.2, 40.0]",0.0,Katie Zelem,Other,Manchester United,Right Center Midfield,0.76,Normal,Right Foot,Penalty,0,1,108.2,40.0,11.799999999999997,0.6536533058598817
4624,1,3,"[102.9, 46.8]",0.0,Katharina Baunach,From Free Kick,West Ham United LFC,Left Wing Back,0.098755755,Normal,Left Foot,Open Play,1,1,102.9,46.8,18.4024454896625,0.4010138762012662
4625,1,4,"[111.3, 31.8]",0.0,Fara Williams,From Counter,Reading WFC,Center Attacking Midfield,0.06482369,Normal,Left Foot,Open Play,0,0,111.3,31.8,11.9553335377981,0.5015630227766664
4626,1,9,"[99.5, 58.7]",0.0,Amalie Vevle Eikeland,Regular Play,Reading WFC,Right Wing Back,0.013155659,Normal,Right Foot,Open Play,0,0,99.5,58.7,27.747792705006287,0.21418733122165
4627,1,11,"[99.8, 47.7]",0.0,Brooke Hendrix,From Corner,West Ham United LFC,Center Back,0.027244272,Normal,Right Foot,Open Play,1,0,99.8,47.7,21.61781672602486,0.3438307743408908
4628,1,11,"[77.8, 48.1]",0.0,Brooke Chaplen,Regular Play,Reading WFC,Right Center Forward,0.011490414,Normal,Right Foot,Open Play,0,0,77.8,48.1,42.970338606997274,0.18238591245374794
4629,1,13,"[93.7, 53.2]",0.0,Alisha Lehmann,From Free Kick,West Ham United LFC,Right Wing,0.02776342,Normal,Right Foot,Open Play,0,0,93.7,53.2,29.42668856667362,0.242671264697788
4630,1,35,"[113.3, 34.0]",0.0,Gilly Louise Scarlett Flaherty,From Corner,West Ham United LFC,Right Center Back,0.030256558,Backheel,Right Foot,Open Play,1,0,113.3,34.0,8.993886812718962,0.6904026475384965
