,period,minute,location,under_pressure,player_name,pattern_of_play,team,player_position,statsbomb_xg,technique,body_part,tipe,outcome,first_time
1664,1,15,"[95.4, 36.4]",,Jill Roord,From Free Kick,Arsenal WFC,Right Attacking Midfield,0.036841378,Normal,Right Foot,Open Play,Saved,False
1665,1,19,"[105.6, 23.2]",,Emma Mitchell,Regular Play,Reading WFC,Left Back,0.04275987,Normal,Left Foot,Open Play,Blocked,False
1666,1,38,"[109.7, 43.5]",,Vivianne Miedema,Regular Play,Arsenal WFC,Center Forward,0.060906414000000006,Normal,Right Foot,Open Play,Blocked,True
1667,1,39,"[110.5, 42.4]",,Jill Roord,Regular Play,Arsenal WFC,Right Attacking Midfield,0.06569838,Normal,Head,Open Play,Saved,False
1668,1,39,"[118.1, 36.0]",,Vivianne Miedema,Regular Play,Arsenal WFC,Center Forward,0.6228772,Normal,Left Foot,Open Play,Goal,True
1669,2,49,"[109.3, 35.9]",,Vivianne Miedema,From Corner,Arsenal WFC,Center Forward,0.07225962,Normal,Head,Open Play,Off T,False
1670,2,53,"[104.4, 32.4]",,Natasha Harding,From Counter,Reading WFC,Right Center Forward,0.21290638,Normal,Right Foot,Open Play,Saved,False
1671,2,60,"[90.7, 33.5]",,Emma Mitchell,From Corner,Arsenal WFC,Left Back,0.019637830000000002,Normal,Left Foot,Open Play,Saved,False
1672,2,67,"[113.9, 39.9]",,Vivianne Miedema,From Throw In,Arsenal WFC,Center Forward,0.3445142,Volley,Right Foot,Open Play,Off T,False
1673,2,68,"[103.5, 50.3]",,Bethany Mead,From Counter,Arsenal WFC,Right Wing,0.13097867,Half Volley,Right Foot,Open Play,Off T,False
1674,2,69,"[114.2, 36.1]",,Jill Roord,From Free Kick,Arsenal WFC,Left Center Midfield,0.3885918,Volley,Right Foot,Open Play,Saved,True
1675,2,71,"[111.2, 35.5]",1.0,Vivianne Miedema,From Corner,Arsenal WFC,Center Forward,0.1664159,Volley,Right Foot,Open Play,Blocked,True
1676,2,71,"[106.1, 35.6]",,Jill Roord,From Corner,Arsenal WFC,Left Center Midfield,0.1362367,Half Volley,Right Foot,Open Play,Blocked,True
1677,2,76,"[106.1, 52.0]",,Natasha Harding,From Free Kick,Reading WFC,Right Center Forward,0.04794624,Normal,Right Foot,Open Play,Blocked,True
1678,2,86,"[108.5, 35.9]",1.0,Jill Roord,Regular Play,Arsenal WFC,Left Center Midfield,0.33243039999999996,Normal,Left Foot,Open Play,Saved,False
1679,1,5,"[109.4, 35.0]",,Amalie Vevle Eikeland,From Goal Kick,Reading WFC,Left Midfield,0.4533869,Normal,Right Foot,Open Play,Saved,False
1680,1,12,"[103.1, 30.2]",,Angharad James,From Throw In,Reading WFC,Left Center Midfield,0.032354347,Normal,Right Foot,Open Play,Blocked,True
1681,1,22,"[100.1, 36.8]",,Amalie Vevle Eikeland,From Throw In,Reading WFC,Right Midfield,0.037380210000000004,Normal,Right Foot,Open Play,Saved,False
1682,1,25,"[117.7, 44.2]",,Amalie Vevle Eikeland,From Free Kick,Reading WFC,Right Midfield,0.2758886,Volley,Right Foot,Open Play,Post,True
